Save,Guardar
"1 hour","1 hora"
"2 hours","2 horas"
"6 hours","6 horas"
"12 hours","12 horas"
"1 day","1 día"
"2 days","2 días"
"3 days","3 días"
Enabled,Habilitar
Yes,Si
Name,Nombre
Status,Estado
Subscribers,Suscriptores
Cancel,Cancelar
"Ouch! You've made several actions in a short period of time. Please wait a few minutes before making another one.","¡Ouch! Has realizado varias acciones en un periodo corto de tiempo. Por favor, espera unos minutos antes de realizar otra."
"Ouch! You've already used this name for another List.","¡Ouch! Ya has utilizado este nombre para otra Lista."
"Ouch! You've reached the maximum number of Lists created.","¡Ouch! Has alcanzado el número máximo de Listas creadas."
"Oops! You’ve reached the maximum number of characters.","¡Ouch! Has alcanzado la cantidad máxima de caracteres."
"Ouch! You need to name the List to create it.","¡Ouch! Necesitas nombrar la Lista para poder crearla."
"Select All","Seleccionar Todo"
ready,Listo
"Buyers Mapping","Mapeo de Compradores"
"Doppler Field","Campo de Doppler"
"Magento Field","Campo de Magento"
Actions,Acciones
Add,Agregar
"Email & Automation Marketing","Email Marketing & Automation"
"Transactional Email","Email Transaccional"
"Customers Mapping","Mapeo de Clientes"
"Buyers Mapping","Mapeo de Compradores"
"Subscribers Mapping","Mapeo de Suscriptores"
"Error a Magento field is more than once: ","Error un campo de Magento se encuentra repetido: "
"Error a Doppler field is more than once: ","Error un campo de Doppler se encuentra repetido: "
"Synchronize your Buyers with Doppler","Sincroniza tus Compradores con Doppler"
"Synchronize your Customers with Doppler","Sincroniza tus Clientes con Doppler"
"Synchronize your Subscribers with Doppler","Sincroniza tus Suscriptores con Doppler"
"Select the fields you want to import to your list","Selecciona los campos que deseas importar a tu lista"
"Doppler List","Lista de Doppler"
"Subscribers Mapping","Mapeo de Suscriptores"
"Customers Mapping","Mapeo de Clientes"
"Ouch! You must select at least one List in the fields mapping screens.","¡Ouch! Tienes que seleccionar al menos una Lista en las pantallas de mapeo de campos."
"Send your Buyer's information from Magento to Doppler. To do this, select the Doppler List and the equivalent Fields in both platforms. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler' target='_blank'>HELP</a>","Envía la información de tus Compradores de Magento a Doppler. Para hacerlo, selecciona la Lista de Doppler a la que deseas enviar la información y los Campos equivalentes en ambas plataformas. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler' target='_blank'>HELP</a>."
"Send your Customers's information from Magento to Doppler. To do this, select the Doppler List and the equivalent Fields in both platforms. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler' target='_blank'>HELP</a>","Envía la información de tus Clientes de Magento a Doppler. Para hacerlo, selecciona la Lista de Doppler a la que deseas enviar la información y los Campos equivalentes en ambas plataformas. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler' target='_blank'>HELP</a>."
"Send your Subscribers's information from Magento to Doppler. To do this, select the Doppler List and the equivalent Fields in both platforms. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler' target='_blank'>HELP</a>","Envía la información de tus Suscriptores de Magento a Doppler. Para hacerlo, selecciona la Lista de Doppler a la que deseas enviar la información y los Campos equivalentes en ambas plataformas. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler' target='_blank'>HELP</a>."
"Select the Fields to import to your List.","Selecciona los Campos que deseas importar a tu Lista."
"Send all the Emails from your Magento store through Doppler Relay. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler/' target='_blank'>HELP</a>.","Envía todos los Emails de tu tienda Magento a través de Doppler Relay. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler/' target='_blank'>HELP</a>."
"This is your Doppler Relay User Email.","Este es tu Email de Usuario de Doppler Relay."
"Where are your SMTP credentials? Just press <a href='https://help.dopplerrelay.com/en/where-can-i-find-my-api-key-and-smtp-credentials' target='_blank'>HELP</a>.","¿Dónde encontrar tus credenciales SMTP? Sólo presiona <a href='https://help.dopplerrelay.com/es/donde-puedo-encontrar-la-clave-de-mi-api-y-las-credenciales-smtp/' target='_blank'>HELP</a>."
"Connect your Magento store with Doppler Relay","Integra tu tienda de Magento con Doppler Relay"
